date,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
2020-09-16,18961.0,6308.0,1475,30362.0,383765.0,82677056,618045,1651.0,6569668,40108,2523824.0,98583907,825125
2020-09-17,19057.0,6278.0,1544,30007.0,385309.0,83412302,735246,1658.0,6612959,43291,2538622.0,99552717,968810
2020-09-18,19163.0,6175.0,1416,29652.0,386725.0,84219808,807506,1608.0,6660209,47250,2556013.0,100613792,1061075
2020-09-19,19243.0,6163.0,1036,29185.0,387761.0,85098101,878293,1577.0,6705115,44906,2575561.0,101731113,1117321
2020-09-20,19281.0,6100.0,525,28724.0,388286.0,85879059,780958,1595.0,6740619,35504,2587314.0,102700632,969519
2020-09-21,19353.0,6140.0,1103,28873.0,389389.0,86501638,622579,1572.0,6779756,39137,2614069.0,103461431,760799
2020-09-22,19324.0,6196.0,1519,29658.0,390908.0,87185488,683850,1562.0,6829231,49475,2645001.0,104346491,885060
2020-09-23,19452.0,6203.0,1449,30021.0,392357.0,87970214,784726,1544.0,6867850,38619,2670381.0,105357621,1011130
2020-09-24,19555.0,6269.0,1495,30158.0,393852.0,88707737,737523,1560.0,6911193,43343,2708310.0,106346220,988599
2020-09-25,19919.0,6220.0,1320,29900.0,395172.0,89587484,879747,1506.0,6966379,55186,2725475.0,107473469,1127249
2020-09-26,20002.0,6143.0,1197,29670.0,396369.0,90441266,853782,1509.0,7013786,47407,2748595.0,108574027,1100558
2020-09-27,20050.0,6170.0,613,29579.0,396982.0,91112447,671181,1511.0,7048769,34983,2764336.0,109482467,908440
2020-09-28,20121.0,6052.0,1223,29688.0,398205.0,91887000,774553,1518.0,7084131,35362,2792677.0,110507542,1025075
2020-09-29,20247.0,6181.0,1651,30583.0,399856.0,92626616,739616,1495.0,7121094,36963,2811386.0,111476369,968827
